  89077  137.151733   -9.660109  11175.65  10913.97        0.688        0.641        0.334       -0.219        0.297       -0.446        0.552       -1.225        0.375   6.359   99   15        0.258        0.097        0.281        0.178   3.084    0 0.48  9801.000      0
  89078  137.514816   -9.659566   4210.40  10920.48        2.262        1.173        0.354        1.321        0.278        1.442        0.513        1.279        0.888   6.359   99    7        1.175        0.091        1.527        0.165   3.084    0 0.01  9801.000      0
  89079  136.987167   -9.660089  14332.78  10913.75        0.625       -0.098        0.334        0.199        0.312        0.217        0.566       -1.293        1.630   6.359   99    6        0.245        0.102        0.372        0.186   3.084    0 0.50  9801.000      0
  89080  137.574707   -9.659817   3061.52  10914.23        0.010        3.666        0.341        3.685        0.327        4.501        0.658       15.309        6.068   6.359   99    5        0.845        0.106        1.171        0.213   3.084    1 0.50  9801.000      0
  89081  136.812561   -9.652822  17682.42  11052.86     2841.642      -99.000      -99.000     1105.438        0.278     1757.976        0.531     1834.704        2.846   6.359   99    7     1104.835        0.091     1754.539        0.171   3.084    0 1.00  9801.000      0
  89082  137.070801   -9.638541  12728.46  11333.55     5579.871      593.514        0.302     1668.210        0.286     2630.981        0.535     2551.209        4.747   6.359   99   12     1498.585        0.158     2357.944        0.290   4.477    3 0.99  9801.000      1
  89083  136.568512   -9.659591  22364.31  10915.05        0.652      -99.000      -99.000        1.039        0.534        0.921        0.839      -99.000      -99.000   6.359   99    0        0.474        0.174        0.559        0.270   3.084    0 0.62  9801.000      0
  89084  137.176041   -9.657097  10709.32  10972.53       41.058        1.468        0.354        5.339        0.324       19.095        0.570       35.407        0.394   6.359   99   16        4.873        0.244       17.659        0.422   5.307    0 0.03  9801.000      0
  89085  136.790283   -9.659884  18109.81  10915.01        0.555      -99.000      -99.000        0.948        0.282        1.137        0.524        1.448        0.598   6.359   99    6        0.238        0.091        0.514        0.169   3.084    0 0.52  9801.000      0
  89086  136.725677   -9.659756  19349.00  10916.14        2.486      -99.000      -99.000        0.679        0.312        0.676        0.577        1.570        0.967   6.359   99    6        0.853        0.102        1.507        0.186   3.084    0 0.31  9801.000      0
  89087  137.365128   -9.659985   7082.09  10914.91        1.408        0.197        0.305        0.506        0.282        0.367        0.531        0.525        0.469   6.359   99    9        0.540        0.091        0.610        0.171   3.084    0 0.42  9801.000      0
  89088  137.678665   -9.658794   1066.85  10931.24       12.857        3.298        0.305        4.521        0.591        8.068        1.165      -99.000      -99.000   6.359   99    1        3.718        0.193        7.206        0.374   3.084    0 0.04  9801.000      0
