|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
   83 610.969971  730.38501   662.08345356   414.453658001         452.502937119 
   84 455.136993 736.482971  37.9283724063  -144.531548759         111.014943236 
   85     75.764 732.280029  283.363354685   157.785121345         203.574730361 
   86 680.333008 731.994019  122.952854177   139.105349847          52.610198255 
   87 996.221008 730.572998  79.6523629089  -4.70596567505         82.0320709836 
   88     46.007 721.799011  160.045666825   77.2270359209         120.993575574 
   89 861.176025 722.023987  116.948244399   64.6840073311         84.2388994568 
   90 838.632996 718.106995  290.088609141   118.722085352         230.053342277 
   91 803.817993 681.723999  9221.69950939   5554.69320322          6412.8077365 
   92 795.357971 716.052002  105.755408381   119.600882805          45.275752088 
   93 196.210999  615.22998  240.223003857   459.501705236         7.86263538245 
   94 272.645996 698.671021  131.288480911   49.7243292542         106.143931204 
   95  38.360001 545.211975  135.476868404   209.286528892          29.645063177 
   96      7.374 520.179993  151.193230703   261.412711335          19.002309021 
   97 997.211975 686.692017  1313.98317744   188.369219324         1218.72881665 
   98 528.223022 686.223999    733.9979689   286.394530162         589.174265747 
   99 561.578979 687.814026  57.8600406803  -31.8009746218         73.9411261186 
  100  95.959999 681.671997  1059.11573149   577.254491227         767.210250491 
  101    148.875 669.809998  142.060058411   192.056303273         44.9412166575 
  102 583.114014 676.619019   123.50167308   34.0662469817         106.275086952 
  103 305.789001 681.382996  20.0133899902  -76.4070607756         58.6508370194 
  104 639.984009 671.539001  79.2893507557   -9.1159684661         83.8991046863 
  105  73.088997  645.52301  432.009374449   282.950992773         288.926995882 
  106 311.752991  660.06897  92.1041693667  -19.2550959224         101.841067255 
  107 262.786987 710.103027  45.4025394185    8.3398180829         41.1852684472 
  108 602.289001 707.396973  116.867923886  -29.4343516714         131.752257768 
  109 201.845993 647.973999  1671.19171896  -224.025737633         1784.47683271 
  110 213.660004 678.536987  291.297481251    520.02527398         28.3316143099 
  111 542.221985 629.072998  598.856772664   527.679682391         332.020232038 
  112 340.329987 706.021973  55.2411025566  -111.445849793          111.59692981 
  113 512.307007 636.122009  106.843165951  -26.6929716106         120.341241471 
  114 824.973999 620.099976  751.428533753   468.254116002         514.642254846 
  115 512.077026  618.61499  711.224870772   343.592064879         537.477574754 
  116  99.300003 611.617981  450.604449775   321.958691304          287.79669674 
  117 969.606995 616.400024  116.267464988   40.3752484908         95.8505492083 
  118 698.262024  615.11499  106.529076826  -21.3903401896         117.345722926 
  119 963.348999 605.286987  96.7296275908   114.937461383         38.6081656371 
  120 780.862976 606.838989  136.459584034   87.9485076011         91.9858695728 
  121    463.263 607.578979  107.901727114   3.52723546067          106.11807817 
  122 577.708984 603.267029  91.0003667458   39.4053190247         71.0739239403 
  123 602.642029 598.643982  147.885164038   80.7403965821         107.056440038 
  124 812.232971 588.033997  1150.75922831    680.40407385         806.693168252 
  125    554.388 567.004028  98.5793156367   175.608040554         9.77801512926 
  126 562.421997 586.367004  150.872613525   203.247988344         48.0943715179 
  127 786.005005  595.10199  108.900469977    82.308975516         67.2785485307 
  128 751.387024 595.435974  73.8104235754   26.5670888928         60.3760043032 
  129 765.489014 592.163025  199.683816602    44.235385043         177.314910783 
  130 792.104004 630.155029  10133.6596487   1142.77688898         9555.78136011 
  131 901.992004 569.392029  124.542175659   157.537043819         44.8789989331 
  132    935.237 584.447998  116.166079835   112.278378707         59.3892601826 
  133 932.736023 547.642029  335.923492953   303.387603444         182.506749285 
  134 921.098999 574.893005  138.474339122   214.997765391         29.7544814619 
  135 916.294006 562.465027  143.772437638   222.326531647         31.3465766967 
  136 468.290985 574.630005  93.9748624519   175.616260527         5.16940527688 
  137  477.22699 580.088989  94.9937941596   196.037441551        -4.13822566672 
  138 498.052002 578.278015  118.320943227   187.989342654         23.2586781024 
  139 481.410004 570.573975  100.666037509   190.856926402          4.1536954668 
  140 511.644012 586.583984   137.31172508   153.630859546         59.6238237589 
  141  579.30603 566.091003  93.0000180349   142.687146991         20.8461224701 
  142 238.755005 577.208984  150.776500259  -2.94400803698         152.265223335 
  143  484.31601 582.695984  106.411106236   193.232962582         8.69725256503 
  144 428.959991 578.554993  61.9729900338  -15.3095627076         69.7147145832 
  145 304.674988 574.942993    154.0244367  -37.3862430666         172.929875169 
  146 872.849976 575.023987  172.305431943   23.5179403791         160.412903079 
  147 325.824005 575.245972  3.55113367286  -127.268514568         67.9081504223 
