|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|         double|            double|               double|
|    |       pix|       pix|              |                  |               |                  |                     |
|null|      null|      null|          null|              null|           null|              null|                 null|
   21 385.333008  940.77301  90.3585793959      1.90093456574  -22.1543316457      1.64224541727         98.4607349692 
   22 327.104004 943.197021  13.3327853261     0.592140391128  -99.9141165709      1.80491499905         49.8728051006 
   23  71.880997 936.484985  76.9775694449      1.74709484402   160.033525171      2.59450248197         18.4510230966 
   24 172.621002 940.585022  42.9876058739      1.32834784218  -55.8122295175      1.56090596299          63.398935526 
   25 251.003998 911.796021  122.990231258      2.44874182859   59.0857613716      3.43779432839         101.381724242 
   26 260.304993 903.705994  -6.8914081508      1.02119407304   95.4322994846       5.7665134778        -41.7923633909 
   27 262.778015 934.447021  202.706584255      3.90802127775   37.0069785004      2.74904611571         189.172603547 
   28 276.240997 922.575012  35.8913806008      1.09017190861   40.8415767821      2.74376416165         20.9550325204 
   29 286.713989 904.396973  79.4726074569      1.68210516656  -79.8041802297      4.20836730013         108.658136227 
   30 279.089996 889.682983  256.310539748      5.19594458572   391.008297087      8.78048509363          113.31321967 
   31    207.806 935.551025 -9.80019461182     0.896119560798  -157.215596904      2.39479406146          47.695795113 
   32     56.473 928.791992  86.9697878291        2.324602917   44.1804739895      4.59817318947         70.8123573416 
   33  67.504997 918.517029    72.34571141      1.84225184568   265.149064036      3.54603326452        -24.6230891518 
   34 719.161011 932.572998  20.4983277398     0.918540955311   98.8803762377      1.96947082746        -15.6636384271 
   35  26.243999  919.76001  118.365356531          2.5630332   137.351760282      2.68385699983         68.1338556281 
   36 508.446991 914.599976  84.6975960399      2.01551169294  -14.9350488475      1.79257705828         90.1595567612 
   37 926.901978 910.025024  287.586988202      5.28375835912   415.987866522      5.77427861239         135.454282731 
   38  933.65802 905.864014  355.291179196      6.56284276792    378.88329435      5.20543062793         216.728145834 
   39 200.220993 907.244995  60.3174937728      1.77506929793   65.9572317459      2.97662506531         36.1959918772 
   40 715.530029 901.721985  330.766501481      5.92687821303   366.454685278      4.41194577414         196.748788008 
