|  id|   xcenter|   ycenter|aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|        double|         double|               double|
|    |       pix|       pix|              |               |                     |
|null|      null|      null|          null|           null|                 null|
   82 518.491028  710.77002  215.997860738  -71.1838168515         233.352543662 
   83 610.969971  730.38501  393.423983901   262.862323339         326.318605701 
   84 455.136993 736.482971  51.5720620937  -43.1828015563         61.8469821389 
   85     75.764 732.280029  152.234762618   91.9964114765         128.331037195 
   86 680.333008 731.994019  83.7618214605   80.8401861368         62.6788305433 
   87 996.221008 730.572998  65.6057227315    6.2107124209         63.3920110946 
   88     46.007 721.799011  103.675048329   53.6654377176         89.4629073821 
   89 861.176025 722.023987  33.1837273031   24.1508013029         26.4340524526 
   90 838.632996 718.106995  154.592807626   72.7731136405         135.549491335 
   91 803.817993 681.723999  4194.56745923   2739.33016719         3501.31317434 
   92 795.357971 716.052002  59.0751795199   56.3621561318         44.1812016213 
   93 196.210999  615.22998  76.8267594689   174.865026079         31.9705744528 
   94 272.645996 698.671021  64.6168774761   19.9393804575         58.9320161924 
   95  38.360001 545.211975  62.7225633623   105.857742932         35.3141457393 
   96      7.374 520.179993  60.6204864117   115.391535007         30.8015495085 
   97 997.211975 686.692017  939.539853525   133.906320189         905.039647479 
   98 528.223022 686.223999  397.825193321   171.192631425         353.897534755 
   99 561.578979 687.814026   55.504302649   5.35107273486         53.5079418857 
  100  95.959999 681.671997   527.94583889   302.143456431         450.908638397 
  101    148.875 669.809998  62.6604674531   85.5279693947         40.3922197319 
  102 583.114014 676.619019  115.476040303   46.1960116867         103.152465346 
  103 305.789001 681.382996  3.88649532676  -41.9420930429         13.8477152441 
  104 639.984009 671.539001  50.3255337785  -1.68155073548         50.1072980607 
  105  73.088997  645.52301  209.421513021   138.841812206         173.673419611 
  106 311.752991  660.06897  14.0974508565   -11.715320082         16.4161484253 
  107 262.786987 710.103027  19.3360821491  -3.83101463047          19.661315821 
  108 602.289001 707.396973  61.7400331398  -0.13396892256         61.1305076006 
  109 201.845993 647.973999  457.428542061   377.526475177         361.331536335 
  110 213.660004 678.536987  126.756405996   207.626905432         73.6167235825 
  111 542.221985 629.072998  323.187317428   314.041179881         243.141902414 
  112 340.329987 706.021973   19.750669237  -60.5556214218         34.4181244778 
  113 512.307007 636.122009  55.6728271382   1.66697070272         54.6079529135 
  114 824.973999 620.099976  375.469271119   242.784777544         313.440289683 
  115 512.077026  618.61499  365.664473537   196.308437566          315.38654695 
  116  99.300003 611.617981  226.287004449   158.748040689          185.50583006 
  117 969.606995 616.400024  26.9838067517   19.4606348554         21.4199912696 
  118 698.262024  615.11499  54.4602276071  -14.7705175986         57.5513998072 
  119 963.348999 605.286987  48.0068903741   64.4263192086         31.0739734654 
  120 780.862976 606.838989  69.4927505316    39.081258514         58.9680662529 
  121    463.263 607.578979  80.5944892408    17.390261982         75.5541458136 
  122 577.708984 603.267029   40.971829248   29.2951294362         32.9214650126 
  123 602.642029 598.643982  108.641967114   45.3869466818         96.5229557531 
  124 812.232971 588.033997  562.889031978   361.932242689         470.734864293 
  125    554.388 567.004028  55.3859284778   92.4970306445         31.3556267518 
  126 562.421997 586.367004    69.48304594    105.04767129          42.279446431 
  127 786.005005  595.10199  42.6686549137   37.7420051743          32.482586788 
  128 751.387024 595.435974  49.7278506742   17.9297407074         44.5511057125 
  129 765.489014 592.163025  87.5435080538   19.7898560404         81.8964524499 
  130 792.104004 630.155029  3048.35131757   438.771375867          2936.7691814 
  131 901.992004 569.392029  75.1155534946   94.0274800803          50.698293689 
  132    935.237 584.447998  72.2914598348   67.9802912746          54.459958384 
  133 932.736023 547.642029  176.855551136    161.95909048         135.262496503 
  134 921.098999 574.893005  87.1267283999   120.285752424         56.0703399819 
  135 916.294006 562.465027  70.1696488441    146.07858396         32.5918136378 
  136 468.290985 574.630005  51.2947456599   114.827831804         21.6183351962 
  137  477.22699 580.088989  55.3779536713   104.447627537         28.3260689285 
  138 498.052002 578.278015  56.4491293149   115.968537795         26.4843033116 
  139 481.410004 570.573975  63.7849913644    100.08778888         37.8354460746 
  140 511.644012 586.583984  63.6599299027   78.8993108283           43.06766894 
  141  579.30603 566.091003  41.8301896401   67.8481685857         24.0320940247 
  142 238.755005 577.208984  102.152804936   2.21297869622          100.94987832 
  143  484.31601 582.695984  56.2234570943   100.614192351         30.1408162108 
  144 428.959991 578.554993  47.8040579013     13.48821353         43.7503064778 
  145 304.674988 574.942993  152.496810054   20.8470905731         146.582443793 
