|  id|   xcenter|   ycenter| aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|         double|         double|               double|
|    |       pix|       pix|               |               |                     |
|null|      null|      null|           null|           null|                 null|
   80 859.164978 744.482971   40.3903760861   2.58608372318         39.5756624107 
   81 525.679016 733.427979   10.5514731884  -4.42931921084         11.5105305265 
   82 518.491028  710.77002   14.8254511888   3.04241435298         13.8953591024 
   83 610.969971  730.38501   133.434635596   103.742819421         107.043502821 
   84 455.136993 736.482971    30.678446057   7.51408370499         28.6177392998 
   85     75.764 732.280029    33.144051363   24.5644217684         26.7723455498 
   86 680.333008 731.994019   33.8324353862   19.3684355141         28.7744801716 
   87 996.221008 730.572998   37.4405217419   9.86223666786         34.7861091491 
   88     46.007 721.799011   47.4565820568   24.0003462056         41.2274968303 
   89 861.176025 722.023987   2.47152682366    15.478589167        -1.60292156145 
   90 838.632996 718.106995   94.7436692802   30.8753092582         86.7763217906 
   91 803.817993 681.723999   750.748018669   611.499589777         595.975914821 
   92 795.357971 716.052002    15.470222409   20.7557016813         10.0615115017 
   93 196.210999  615.22998   8.41767609827   15.7474485955         4.27524942803 
   94 272.645996 698.671021   17.1276862114   4.69173223379         15.7805814064 
   95  38.360001 545.211975   2.93337807492   32.1544398283        -5.35738415639 
   96      7.374 520.179993   17.5188409821   36.7916266596         8.05561472229 
   97 997.211975 686.692017   439.969716433   103.127872278          413.73406659 
   98 528.223022 686.223999    101.11306039   70.1988952327          83.203156842 
   99 561.578979 687.814026   14.1661269625   5.25831602118         12.6757673925 
  100  95.959999 681.671997   111.191615613   79.8867611937         90.8322368196 
  101    148.875 669.809998   8.87232701113   15.3143169294         4.83941313747 
  102 583.114014 676.619019   58.8439297638   42.0985236098         48.0389102999 
  103 305.789001 681.382996   6.84357569072  -16.2539149493          10.792357976 
  104 639.984009 671.539001   32.1883202434   15.3487722113         28.1466947133 
  105  73.088997  645.52301   30.8752397252   34.7722263922         21.9225976317 
  106 311.752991  660.06897    14.674171587   5.07561926697         13.2300049742 
  107 262.786987 710.103027   4.45408387954  -5.07855366248         5.57729333577 
  108 602.289001 707.396973   41.0153681672   13.3602175855         37.4765278067 
  109 201.845993 647.973999  -54.5460381406   158.075421609        -94.6745992221 
  110 213.660004 678.536987   33.5216285444   44.6627614948         22.0682684398 
  111 542.221985 629.072998   83.4560305999   95.1746713838         59.2312641432 
  112 340.329987 706.021973   19.6651060249  -20.3388577348         24.6467232268 
  113 512.307007 636.122009   18.4271519414   17.3624999477         13.8763764848 
  114 824.973999 620.099976   161.982132405   117.969893881         131.993833149 
  115 512.077026  618.61499   89.7199275609   74.6213493243         70.6918529039 
  116  99.300003 611.617981   55.9899192609   45.5380118627         44.3152612856 
  117 969.606995 616.400024   5.56907534861   16.8952731261         1.13643329089 
  118 698.262024  615.11499   25.1048498401   6.09810215645         23.4021591584 
  119 963.348999 605.286987   6.09786197291   12.7199866508         2.72089728573 
  120 780.862976 606.838989   22.8031414109   3.85092427726         21.6686260745 
  121    463.263 607.578979   35.9482284006   24.9077658288         29.4897116447 
  122 577.708984 603.267029   18.7205630383   27.6066514215         11.5796613819 
  123 602.642029 598.643982   63.6009212636   39.4074605724          53.476308849 
  124 812.232971 588.033997    123.82256234   92.4320635424         100.291235495 
  125    554.388 567.004028   24.5767929132   24.3054657502         18.2705614117 
  126 562.421997 586.367004   28.0560165786   45.4561537755         16.4020555617 
  127 786.005005  595.10199   13.9498620202    7.1679209231         11.9766788898 
  128 751.387024 595.435974   34.7329044549   11.9390003753         31.5534039519 
  129 765.489014 592.163025   29.4240657641   9.67336049267         26.8174085302 
  130 792.104004 630.155029    247.36672318   74.8201982444          228.28837166 
  131 901.992004 569.392029   17.1868954414   31.4019396571         9.08639498173 
  132    935.237 584.447998   20.6880888482   17.2326483563         16.1701450039 
  133 932.736023 547.642029   44.6919572425   46.2706110113         32.8320692603 
  134 921.098999 574.893005   18.2215542764   35.5091397512         9.08259137325 
  135 916.294006 562.465027   21.3050888984   31.0302576417          13.298564336 
  136 468.290985 574.630005   11.7201509105   42.3531859172        0.850742754479 
  137  477.22699 580.088989   20.6425106155   33.6174379921         11.9818446509 
  138 498.052002 578.278015   23.1909348429   27.6752720655         16.0326831768 
  139 481.410004 570.573975   18.4962619063   27.6724123485         11.3387332897 
  140 511.644012 586.583984   22.6292538711   26.6630110045         15.7269417918 
  141  579.30603 566.091003    19.174965897   33.7696798989         10.4758071639 
  142 238.755005 577.208984   21.4749920567  0.864740352783          21.095501989 
