|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0|  aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|          double|            double|               double|
|    |       pix|       pix|              |                  |                |                  |                     |
|null|      null|      null|          null|              null|            null|              null|                 null|
   21 385.333008  940.77301  115.768445485      2.12394073617    81.4803558821      1.25068767553         114.481649134 
   22 327.104004 943.197021  67.7211307598      1.29869037544   -1.89794973181     0.735608868536         66.4343344089 
   23  71.880997 936.484985  35.3899101473     0.728888450789    87.0247817318      1.24352054057         34.1031137964 
   24 172.621002 940.585022  37.6519525755     0.840256640439    14.8219340129       0.8171462658         36.3651562246 
   25 251.003998 911.796021  146.059053097      2.67015810547    3.20091893086      1.89153620245         144.772256747 
   26 260.304993 903.705994  124.136834138      2.37383077234   -66.6298644541      3.54612163731         122.850037787 
   27 262.778015 934.447021  213.269970085      3.90366074812    8.39042197595      2.51868520748         211.983173734 
   28 276.240997 922.575012  118.845383164       2.4486723273    22.8693917179      2.07205725918         117.558586813 
   29 286.713989 904.396973  145.351017224      2.73528191051   -118.167792001      3.23971654857         144.064220873 
   30 279.089996 889.682983  167.643183967        3.137531591    254.486956169      6.40337140711         166.356387616 
   31    207.806 935.551025  18.3091376141     0.563042067651   -23.8631131371     0.773692978064         17.0223412632 
   32     56.473 928.791992  111.653321058      2.05422552805    111.504304815      1.95346922434         110.366524707 
   33  67.504997 918.517029  30.8184163693     0.689194019349     83.381148106      1.15441622276         29.5316200184 
   34 719.161011 932.572998  62.5360692831      1.21931311215    32.3589807145     0.760897503838         61.2492729322 
   35  26.243999  919.76001  64.6027922778      1.29028884767    62.2755390383     0.972335780504         63.3159959269 
   36 508.446991 914.599976  88.2101245073      1.68356984947    10.8447531999     0.789918781893         86.9233281564 
   37 926.901978 910.025024  160.965811256      2.97843000127    124.563693872      1.79675148035         159.679014905 
   38  933.65802 905.864014  101.658149069       1.9454128315    124.106481542      2.16797618946         100.371352718 
   39 200.220993 907.244995  125.679871104      2.30774915893    43.8902551682     0.929312281959         124.393074753 
   40 715.530029 901.721985  252.822582924      4.59896238555    141.692435938      1.76532041799         251.535786573 
