|  id|   xcenter|   ycenter|aperture_sum_0|aperture_sum_err_0| aperture_sum_1|aperture_sum_err_1|residual_aperture_sum|
|long|    double|    double|        double|            double|         double|            double|               double|
|    |       pix|       pix|              |                  |               |                  |                     |
|null|      null|      null|          null|              null|           null|              null|                 null|
   21 385.333008  940.77301  214.561915804      3.98300350229   150.006352402      2.20918549641          186.16708553 
   22 327.104004 943.197021  67.8696641379      1.47682270935   -58.098445587      1.34762228627         77.5282826392 
   23  71.880997 936.484985  63.1625613218      1.38560183163   159.993907794      2.15295460347         32.9414352048 
   24 172.621002 940.585022  34.6412113259      1.04861009894   9.38798366515      1.34597927791         31.9594541925 
   25 251.003998 911.796021  268.542964473      4.87427215826   76.5573517849      2.66231398878         253.578808598 
   26 260.304993 903.705994  219.133917421      4.16653356915   -140.44686804       7.7026126266         243.850533171 
   27 262.778015 934.447021  309.648780332      5.74475594612   79.1627728105      3.77619780828         294.208204613 
   28 276.240997 922.575012  199.632985851      4.07596545975  -18.7556471156      4.85839439732         202.097492632 
   29 286.713989 904.396973  261.315062255      4.88150938278  -28.4482706675      4.63275913907         265.551934485 
   30 279.089996 889.682983   417.60020444      7.51847978435   724.265977469      10.8741827368         284.197899868 
   31    207.806 935.551025  29.3891989055      1.01411199842  -45.8882416443      1.30834985447         36.8150944001 
   32     56.473 928.791992  291.358131596      5.37552113743   305.208019739      4.40027462439         234.583567867 
   33  67.504997 918.517029  71.7632154828      1.46092244145   137.769516922      1.92877478854         45.6059779825 
   34 719.161011 932.572998   84.634200816      1.76529962146   35.2758636577      1.07521151971         77.2186599126 
   35  26.243999  919.76001  193.457144411       3.7820936948   106.912574189       1.6490022373         172.942319296 
   36 508.446991 914.599976  117.278254114      2.31572219925  -25.5614284073      1.41020231966         120.987246617 
   37 926.901978 910.025024  375.844130801      6.88644796387   345.269225557      6.21859077617         311.744089436 
   38  933.65802 905.864014  421.652051052      8.29420744553   285.065017588      4.82091231978         368.560779144 
   39 200.220993 907.244995   186.22027077      3.46504687235   13.9156003873      1.61558370599         182.710606579 
   40 715.530029 901.721985  506.531156527      9.29174771731   287.980324776      3.46881087021         452.906799876 
