|  id|   xcenter|   ycenter| aperture_sum_0| aperture_sum_1|residual_aperture_sum|
|long|    double|    double|         double|         double|               double|
|    |       pix|       pix|               |               |                     |
|null|      null|      null|           null|           null|                 null|
   80 859.164978 744.482971   40.3903760861   2.58608372318         40.0686769984 
   81 525.679016 733.427979   10.5514731884  -4.42931921084         10.2297741006 
   82 518.491028  710.77002   14.8254511888   3.04241435298         14.5037521011 
   83 610.969971  730.38501   133.434635596   103.742819421         133.112936508 
   84 455.136993 736.482971    30.678446057   7.51408370499         30.3567469692 
   85     75.764 732.280029    33.144051363   24.5644217684         32.8223522752 
   86 680.333008 731.994019   33.8324353862   19.3684355141         33.5107362985 
   87 996.221008 730.572998   37.4405217419   9.86223666786         37.1188226541 
   88     46.007 721.799011   47.4565820568   24.0003462056         47.1348829691 
   89 861.176025 722.023987   2.47152682366    15.478589167         2.14982773594 
   90 838.632996 718.106995   94.7436692802   30.8753092582         94.4219701925 
   91 803.817993 681.723999   750.748018669   611.499589777         750.426319582 
   92 795.357971 716.052002    15.470222409   20.7557016813         15.1485233212 
   93 196.210999  615.22998   8.41767609827   15.7474485955         8.09597701054 
   94 272.645996 698.671021   17.1276862114   4.69173223379         16.8059871237 
   95  38.360001 545.211975   2.93337807492   32.1544398283         2.61167898719 
   96      7.374 520.179993   17.5188409821   36.7916266596         17.1971418943 
   97 997.211975 686.692017   439.969716433   103.127872278         439.648017345 
   98 528.223022 686.223999    101.11306039   70.1988952327         100.791361303 
   99 561.578979 687.814026   14.1661269625   5.25831602118         13.8444278747 
  100  95.959999 681.671997   111.191615613   79.8867611937         110.869916526 
  101    148.875 669.809998   8.87232701113   15.3143169294          8.5506279234 
  102 583.114014 676.619019   58.8439297638   42.0985236098         58.5222306761 
  103 305.789001 681.382996   6.84357569072  -16.2539149493         6.52187660299 
  104 639.984009 671.539001   32.1883202434   15.3487722113         31.8666211557 
  105  73.088997  645.52301   30.8752397252   34.7722263922         30.5535406374 
  106 311.752991  660.06897    14.674171587   5.07561926697         14.3524724993 
  107 262.786987 710.103027   4.45408387954  -5.07855366248         4.13238479182 
  108 602.289001 707.396973   41.0153681672   13.3602175855         40.6936690795 
  109 201.845993 647.973999  -54.5460381406   158.075421609        -54.8677372284 
  110 213.660004 678.536987   33.5216285444   44.6627614948         33.1999294566 
  111 542.221985 629.072998   83.4560305999   95.1746713838         83.1343315122 
  112 340.329987 706.021973   19.6651060249  -20.3388577348         19.3434069372 
  113 512.307007 636.122009   18.4271519414   17.3624999477         18.1054528536 
  114 824.973999 620.099976   161.982132405   117.969893881         161.660433317 
  115 512.077026  618.61499   89.7199275609   74.6213493243         89.3982284732 
  116  99.300003 611.617981   55.9899192609   45.5380118627         55.6682201731 
  117 969.606995 616.400024   5.56907534861   16.8952731261         5.24737626089 
  118 698.262024  615.11499   25.1048498401   6.09810215645         24.7831507523 
  119 963.348999 605.286987   6.09786197291   12.7199866508         5.77616288518 
  120 780.862976 606.838989   22.8031414109   3.85092427726         22.4814423232 
  121    463.263 607.578979   35.9482284006   24.9077658288         35.6265293129 
  122 577.708984 603.267029   18.7205630383   27.6066514215         18.3988639505 
  123 602.642029 598.643982   63.6009212636   39.4074605724         63.2792221758 
  124 812.232971 588.033997    123.82256234   92.4320635424         123.500863252 
  125    554.388 567.004028   24.5767929132   24.3054657502         24.2550938255 
  126 562.421997 586.367004   28.0560165786   45.4561537755         27.7343174909 
  127 786.005005  595.10199   13.9498620202    7.1679209231         13.6281629324 
  128 751.387024 595.435974   34.7329044549   11.9390003753         34.4112053672 
  129 765.489014 592.163025   29.4240657641   9.67336049267         29.1023666764 
  130 792.104004 630.155029    247.36672318   74.8201982444         247.045024092 
  131 901.992004 569.392029   17.1868954414   31.4019396571         16.8651963537 
  132    935.237 584.447998   20.6880888482   17.2326483563         20.3663897605 
  133 932.736023 547.642029   44.6919572425   46.2706110113         44.3702581548 
  134 921.098999 574.893005   18.2215542764   35.5091397512         17.8998551887 
  135 916.294006 562.465027   21.3050888984   31.0302576417         20.9833898107 
  136 468.290985 574.630005   11.7201509105   42.3531859172         11.3984518228 
  137  477.22699 580.088989   20.6425106155   33.6174379921         20.3208115278 
  138 498.052002 578.278015   23.1909348429   27.6752720655         22.8692357552 
  139 481.410004 570.573975   18.4962619063   27.6724123485         18.1745628186 
  140 511.644012 586.583984   22.6292538711   26.6630110045         22.3075547834 
  141  579.30603 566.091003    19.174965897   33.7696798989         18.8532668092 
  142 238.755005 577.208984   21.4749920567  0.864740352783         21.1532929689 
