# id F89 E89 F90 E90 F159 E159 F156 E156
   68       32.2013813393 0.739108379353        51.0133493724   1.1274097547         33.6451918756      3.21535415115          17.3390336969    0.598152714006    
   69       38.5682041385 0.692872950453        47.1266737637  1.33438879193        -10.7064873136      2.49495522508          8.18875075996    0.503325911972    
   70       14.0263922345  0.71378154574        114.415609006  1.68319621548         187.341355161      8.02976236009           6.2729075566    0.605941535023    
   71       62.7233533091 0.794760744625        306.381718109  2.10928892454         683.013739656      11.2675672633         -4.22130356967    0.671816000884    
   72       33.0683737444 0.671477424612        62.2372972959  1.12076769034          81.301848827      2.67819395089          5.99153399067    0.616249092859    
   73       27.9470257167 0.702863004858        61.8279185491  1.27980920575          72.380090567      2.43756836081         -2.77901800807    0.471630651384    
   74        98.972078128  1.23976775526        125.774423661  1.83826323318         100.894016089      3.45291667134          17.9121548049    0.671300211591    
   75       17.1568758314 0.687135924776         57.755099805 0.951301563592        -8.60403810686       2.6680416549          4.17983802606    0.616127899503    
   76       43.0461452427 0.683448682637        60.2659952733  1.32813373395         14.6050105379      2.74481917677          19.1819992951    0.651523950581    
   77       217.174012495  1.84742124273        419.179831266  3.91903090004         437.768377393      7.76987919687          26.1238468695    0.749846533988    
   78       60.5537739462 0.668156075822        80.3094285423  1.23947645766         4.52669576641      2.91851707052         -4.90044904347    0.844505957196    
   79       92.0279808277  1.71838330845        206.175954931  3.19935227738         317.177076981      6.14486284478           24.397092609     0.86476008687    
   80       296.390017578  2.73624465889        388.808234501  3.16553119173          374.54342268      5.48629965593          32.9900290153     1.19740833853    
   81       44.8233191352 0.795992193508        92.8851852435  1.41873551621         119.910840239      2.88113946422          1.46124903161    0.696253076066    
   82        75.334716286 0.610809125052        83.4085044029  1.17097454627         69.3605849616      2.44203564864          26.9883478272    0.584000988999    
   83       69.7456067237   1.7127586228        152.004918784   3.2574388076         213.554484568       5.6843195335          3.14977333817    0.802581601262    
   84       48.6389163129 0.801086866653        323.474798481  2.58800749341          808.78288138      13.4562768593          17.5923160944    0.575081956908    
   85       60.2142272201 0.874461270509        138.161745496  1.54252903277         279.377528909      4.12765216951          15.8090880079    0.558782029907    
   86        61.538046243 0.855268333753        89.4996635712  1.32886524307         34.3921458433      2.71614639512         -15.9172422103    0.872680952849    
   87       51.1088137528  0.79309631103        89.1358876543  1.37394644782         42.9062092905      2.83660423458         -9.16920196389    0.545366924549    
   88       265.871617374  4.97488352903        509.919876842  8.35066861597         559.825652605      13.1214836416          55.6337961707     1.61312570728    
   89       53.0654622587 0.857677261739         102.09083722  1.53394183242         66.5361842296      3.56383491198          12.7909165331    0.751386983936    
   90       54.1058592614 0.739110875669        89.3481657531  1.35789472927         65.1667660286      3.06228282803           18.951001832    0.899323424966    
   91        59.539168215 0.646325973454        98.7862978192  1.28633108468         99.4809205529      2.96752779642          2.75633852424    0.573609485958    
   92       21.3992681953 0.649539225764        39.2730098814  1.15284372171        -82.2080409679       2.5586651772          15.5059288174    0.493214482913    
   93       27.5935537322 0.664605894514        61.5964778799  1.26162728104         27.0168798889      3.06494846204          4.20656279959    0.735451068237    
   94       158.386467308 0.762215014908         279.37683583  1.38196460207         356.554480893      4.63474219849          37.0468413591    0.713894945701    
   95       59.7507977028   0.6561872434        216.998889931  1.58086816062         265.056636211      4.28029358087          5.15109371311    0.698153045943    
   96       39.0614333662  0.67657744735        89.4591136765   1.1405891038         118.675833931      3.01935612485         -2.02078632998    0.581508837012    
   97       60.7689006731  0.96914440176        87.7379218725   1.6461032651         47.0793523062      4.29553881468           13.969949173    0.705122181148    
   98       52.2971458889 0.831731006286        62.8541512206  1.49342839372         85.5689318226      3.54263985064          21.2370353203    0.640924871432    
   99       109.142355499 0.743084994607        122.917804543  1.36795925998         99.4064816153       2.2914203954          42.2508020883    0.817669331004    
  100       33.6790275245 0.630958032505        62.2903112758  1.53520664958         94.2482545862      3.27988179546          1.73781443012     0.36652228379    
  101       13.0295796871 0.988247305067        50.3907425646  1.85521906502         83.0636350527       3.9942639415          2.16125903056    0.602336787532    
  102       40.0275813237 0.779449399143        75.9175687956  1.22749158137         93.4353429159      2.48477144918           12.230324526    0.715457872492    
  103        25.544131203 0.892981914387        61.3812930945  1.59149381921          80.692190659      3.74797641266          9.58554758059    0.519023380859    
  104        46.715500616 0.794643266175        62.3935898047  1.34377903942         49.1391187487      3.57088125138           1.9528653991    0.646556898521    
  105        91.541018213 0.964548932609        126.017948012  1.63154083532         90.9913955733      4.25946502183           13.248518133    0.595896629661    
  106       117.187156425  1.89243009084        157.077964766  3.58108492811         204.516261835      7.46824529102          11.7772725472     0.74928106273    
  107       62.0246111574   1.8642985197         140.39432469  3.84339278894         228.413637283      7.14390131974          5.48827721863     0.63523993461    
  108       12.1206676223 0.809913292182        55.6792449202  1.62324793096         76.2873294334      3.81717277389         -12.5406945967    0.680135218048    
  109       21.6206071175 0.973501631877        62.9880621647  1.58534324539         146.408276667        3.592537518          6.04780468358    0.581971586804    
  110       20.9500716624 0.863184039608        47.8965306172  1.58881098958         95.9088621509      4.15639852621         -17.9897770012    0.589906187076    
  111       36.8316801718 0.702895968024          49.16847264  1.21047818373         45.6211830817      2.86435700364         -1.48253372459     0.89563826066    
